Size,Sparsity,Matrix A Type,Matrix B Type,Function,Threads,Tile Size,Time (ms)
500,0.001,Dense,Dense,Unoptimized,1,4,963.327
500,0.001,Dense,Dense,Multithreaded,1,4,936.211
500,0.001,Dense,Dense,MT with SIMD,1,4,565.805
500,0.001,Dense,Dense,Cache Opt,1,4,1403.16
500,0.001,Dense,Dense,Cache Opt SIMD,1,4,1511.08
500,0.001,Sparse,Sparse,Unoptimized,1,4,0.04845
500,0.001,Sparse,Sparse,Multithreaded,1,4,0.24772
500,0.001,Sparse,Sparse,MT with SIMD,1,4,0.22226
500,0.001,Sparse,Sparse,Cache Opt,1,4,0.188079
500,0.001,Sparse,Sparse,Cache Opt SIMD,1,4,0.179746
500,0.001,Dense,Sparse,Unoptimized,1,4,2.87437
500,0.001,Dense,Sparse,Multithreaded,1,4,2.08524
500,0.001,Dense,Sparse,MT with SIMD,1,4,0.484899
500,0.001,Dense,Sparse,Cache Opt,1,4,3.42436
500,0.001,Dense,Sparse,Cache Opt SIMD,1,4,109.947
500,0.001,Dense,Dense,Unoptimized,1,256,937.256
500,0.001,Dense,Dense,Multithreaded,1,256,1016.56
500,0.001,Dense,Dense,MT with SIMD,1,256,578.233
500,0.001,Dense,Dense,Cache Opt,1,256,1124.36
500,0.001,Dense,Dense,Cache Opt SIMD,1,256,183.18
500,0.001,Sparse,Sparse,Unoptimized,1,256,0.049373
500,0.001,Sparse,Sparse,Multithreaded,1,256,0.180989
500,0.001,Sparse,Sparse,MT with SIMD,1,256,0.151975
500,0.001,Sparse,Sparse,Cache Opt,1,256,0.219732
500,0.001,Sparse,Sparse,Cache Opt SIMD,1,256,0.155341
500,0.001,Dense,Sparse,Unoptimized,1,256,2.80206
500,0.001,Dense,Sparse,Multithreaded,1,256,2.50433
500,0.001,Dense,Sparse,MT with SIMD,1,256,0.435958
500,0.001,Dense,Sparse,Cache Opt,1,256,3.23637
500,0.001,Dense,Sparse,Cache Opt SIMD,1,256,110.285
500,0.001,Dense,Dense,Unoptimized,8,4,918.157
500,0.001,Dense,Dense,Multithreaded,8,4,189.399
500,0.001,Dense,Dense,MT with SIMD,8,4,107.839
500,0.001,Dense,Dense,Cache Opt,8,4,266.74
500,0.001,Dense,Dense,Cache Opt SIMD,8,4,297.522
500,0.001,Sparse,Sparse,Unoptimized,8,4,0.048802
500,0.001,Sparse,Sparse,Multithreaded,8,4,0.626544
500,0.001,Sparse,Sparse,MT with SIMD,8,4,0.760004
500,0.001,Sparse,Sparse,Cache Opt,8,4,0.548598
500,0.001,Sparse,Sparse,Cache Opt SIMD,8,4,0.656801
500,0.001,Dense,Sparse,Unoptimized,8,4,2.81563
500,0.001,Dense,Sparse,Multithreaded,8,4,0.886922
500,0.001,Dense,Sparse,MT with SIMD,8,4,0.593693
500,0.001,Dense,Sparse,Cache Opt,8,4,1.46195
500,0.001,Dense,Sparse,Cache Opt SIMD,8,4,26.7319
500,0.001,Dense,Dense,Unoptimized,8,256,932.651
500,0.001,Dense,Dense,Multithreaded,8,256,192.376
500,0.001,Dense,Dense,MT with SIMD,8,256,106.014
500,0.001,Dense,Dense,Cache Opt,8,256,223.317
500,0.001,Dense,Dense,Cache Opt SIMD,8,256,36.2121
500,0.001,Sparse,Sparse,Unoptimized,8,256,0.052168
500,0.001,Sparse,Sparse,Multithreaded,8,256,0.661278
500,0.001,Sparse,Sparse,MT with SIMD,8,256,0.969767
500,0.001,Sparse,Sparse,Cache Opt,8,256,0.573485
500,0.001,Sparse,Sparse,Cache Opt SIMD,8,256,0.702486
500,0.001,Dense,Sparse,Unoptimized,8,256,2.90991
500,0.001,Dense,Sparse,Multithreaded,8,256,1.14009
500,0.001,Dense,Sparse,MT with SIMD,8,256,0.296185
500,0.001,Dense,Sparse,Cache Opt,8,256,1.36992
500,0.001,Dense,Sparse,Cache Opt SIMD,8,256,34.5307
500,0.01,Dense,Dense,Unoptimized,1,4,917.154
500,0.01,Dense,Dense,Multithreaded,1,4,938.199
500,0.01,Dense,Dense,MT with SIMD,1,4,574.846
500,0.01,Dense,Dense,Cache Opt,1,4,1366.37
500,0.01,Dense,Dense,Cache Opt SIMD,1,4,1533.36
500,0.01,Sparse,Sparse,Unoptimized,1,4,1.42762
500,0.01,Sparse,Sparse,Multithreaded,1,4,1.62976
500,0.01,Sparse,Sparse,MT with SIMD,1,4,1.50058
500,0.01,Sparse,Sparse,Cache Opt,1,4,1.61572
500,0.01,Sparse,Sparse,Cache Opt SIMD,1,4,1.55661
500,0.01,Dense,Sparse,Unoptimized,1,4,14.4155
500,0.01,Dense,Sparse,Multithreaded,1,4,13.1952
500,0.01,Dense,Sparse,MT with SIMD,1,4,2.29626
500,0.01,Dense,Sparse,Cache Opt,1,4,16.4856
500,0.01,Dense,Sparse,Cache Opt SIMD,1,4,1076.12
500,0.01,Dense,Dense,Unoptimized,1,256,946.274
500,0.01,Dense,Dense,Multithreaded,1,256,924.998
500,0.01,Dense,Dense,MT with SIMD,1,256,563.341
500,0.01,Dense,Dense,Cache Opt,1,256,1118.53
500,0.01,Dense,Dense,Cache Opt SIMD,1,256,182.857
500,0.01,Sparse,Sparse,Unoptimized,1,256,1.47699
500,0.01,Sparse,Sparse,Multithreaded,1,256,1.57959
500,0.01,Sparse,Sparse,MT with SIMD,1,256,1.46541
500,0.01,Sparse,Sparse,Cache Opt,1,256,1.49275
500,0.01,Sparse,Sparse,Cache Opt SIMD,1,256,1.51327
500,0.01,Dense,Sparse,Unoptimized,1,256,14.6825
500,0.01,Dense,Sparse,Multithreaded,1,256,12.3418
500,0.01,Dense,Sparse,MT with SIMD,1,256,2.22262
500,0.01,Dense,Sparse,Cache Opt,1,256,14.6266
500,0.01,Dense,Sparse,Cache Opt SIMD,1,256,1063.45
500,0.01,Dense,Dense,Unoptimized,8,4,924.606
500,0.01,Dense,Dense,Multithreaded,8,4,185.935
500,0.01,Dense,Dense,MT with SIMD,8,4,115.294
500,0.01,Dense,Dense,Cache Opt,8,4,251.693
500,0.01,Dense,Dense,Cache Opt SIMD,8,4,264.284
500,0.01,Sparse,Sparse,Unoptimized,8,4,1.35981
500,0.01,Sparse,Sparse,Multithreaded,8,4,1.04833
500,0.01,Sparse,Sparse,MT with SIMD,8,4,0.720199
500,0.01,Sparse,Sparse,Cache Opt,8,4,0.874419
500,0.01,Sparse,Sparse,Cache Opt SIMD,8,4,1.17051
500,0.01,Dense,Sparse,Unoptimized,8,4,14.9879
500,0.01,Dense,Sparse,Multithreaded,8,4,2.547
500,0.01,Dense,Sparse,MT with SIMD,8,4,0.566151
500,0.01,Dense,Sparse,Cache Opt,8,4,3.68398
500,0.01,Dense,Sparse,Cache Opt SIMD,8,4,263.744
500,0.01,Dense,Dense,Unoptimized,8,256,946.009
500,0.01,Dense,Dense,Multithreaded,8,256,174.739
500,0.01,Dense,Dense,MT with SIMD,8,256,112.734
500,0.01,Dense,Dense,Cache Opt,8,256,219.029
500,0.01,Dense,Dense,Cache Opt SIMD,8,256,42.9563
500,0.01,Sparse,Sparse,Unoptimized,8,256,1.36384
500,0.01,Sparse,Sparse,Multithreaded,8,256,0.836377
500,0.01,Sparse,Sparse,MT with SIMD,8,256,0.873758
500,0.01,Sparse,Sparse,Cache Opt,8,256,0.864213
500,0.01,Sparse,Sparse,Cache Opt SIMD,8,256,0.856184
500,0.01,Dense,Sparse,Unoptimized,8,256,14.8222
500,0.01,Dense,Sparse,Multithreaded,8,256,2.89534
500,0.01,Dense,Sparse,MT with SIMD,8,256,0.605023
500,0.01,Dense,Sparse,Cache Opt,8,256,3.82158
500,0.01,Dense,Sparse,Cache Opt SIMD,8,256,471.274
500,0.1,Dense,Dense,Unoptimized,1,4,921.707
500,0.1,Dense,Dense,Multithreaded,1,4,932.916
500,0.1,Dense,Dense,MT with SIMD,1,4,554.28
500,0.1,Dense,Dense,Cache Opt,1,4,1348
500,0.1,Dense,Dense,Cache Opt SIMD,1,4,1545.63
500,0.1,Sparse,Sparse,Unoptimized,1,4,61.9783
500,0.1,Sparse,Sparse,Multithreaded,1,4,61.0447
500,0.1,Sparse,Sparse,MT with SIMD,1,4,59.4754
500,0.1,Sparse,Sparse,Cache Opt,1,4,61.4881
500,0.1,Sparse,Sparse,Cache Opt SIMD,1,4,61.5696
500,0.1,Dense,Sparse,Unoptimized,1,4,106.265
500,0.1,Dense,Sparse,Multithreaded,1,4,121.831
500,0.1,Dense,Sparse,MT with SIMD,1,4,21.551
500,0.1,Dense,Sparse,Cache Opt,1,4,117.694
500,0.1,Dense,Sparse,Cache Opt SIMD,1,4,10611.1
500,0.1,Dense,Dense,Unoptimized,1,256,936.906
500,0.1,Dense,Dense,Multithreaded,1,256,936.803
500,0.1,Dense,Dense,MT with SIMD,1,256,578.46
500,0.1,Dense,Dense,Cache Opt,1,256,1104.14
500,0.1,Dense,Dense,Cache Opt SIMD,1,256,179.831
500,0.1,Sparse,Sparse,Unoptimized,1,256,58.5106
500,0.1,Sparse,Sparse,Multithreaded,1,256,60.9965
500,0.1,Sparse,Sparse,MT with SIMD,1,256,59.5443
500,0.1,Sparse,Sparse,Cache Opt,1,256,60.3153
500,0.1,Sparse,Sparse,Cache Opt SIMD,1,256,59.882
